,hall_id,hall_name,residence_type,building_id,number_of_floors,room_number,floor_number,floor_plan,room_type,max_room_occupancy,distance_from_student_center,average_room_size,room_contract_type,is_aircooled,has_vending_machine,has_laundry,has_main_lounge,has_floor_lounge,has_tv_in_building,has_recreational_activities,has_wardrobe,has_accessibility_ramps,has_private_bathroom,price
0,AH,Allen Hall,Traditional Residence Hall,,4,101,1,Traditional Single,1 Bedroom(s),1,0.3 miles,216 sqft,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,0,0,7306
1,AH,Allen Hall,Traditional Residence Hall,,4,102,1,Traditional Single,1 Bedroom(s),1,0.3 miles,216 sqft,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,0,0,7306
2,AH,Allen Hall,Traditional Residence Hall,,4,103,1,Traditional Single,1 Bedroom(s),1,0.3 miles,216 sqft,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,0,0,7306
3,AH,Allen Hall,Traditional Residence Hall,,4,104,1,Traditional Single,1 Bedroom(s),1,0.3 miles,216 sqft,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,0,0,7306
4,AH,Allen Hall,Traditional Residence Hall,,4,105,1,Traditional Single,1 Bedroom(s),1,0.3 miles,216 sqft,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,0,0,7306
5,AH,Allen Hall,Traditional Residence Hall,,4,106,1,Traditional Single,1 Bedroom(s),1,0.3 miles,216 sqft,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,0,0,7306
6,AH,Allen Hall,Traditional Residence Hall,,4,107,1,Traditional Single,1 Bedroom(s),1,0.3 miles,216 sqft,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,0,0,7306
7,AH,Allen Hall,Traditional Residence Hall,,4,108,1,Traditional Single,1 Bedroom(s),1,0.3 miles,216 sqft,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,0,0,7306
8,AH,Allen Hall,Traditional Residence Hall,,4,109,1,Traditional Single,1 Bedroom(s),1,0.3 miles,216 sqft,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,0,0,7306
9,AH,Allen Hall,Traditional Residence Hall,,4,110,1,Traditional Single,1 Bedroom(s),1,0.3 miles,216 sqft,Undergraduate Academic Year (Two Semesters),1,1,1,1,1,1,1,1,0,0,7306
